item,itemLabel,count
http://www.wikidata.org/entity/Q7243,Лев Николаевич Толстой,171
http://www.wikidata.org/entity/Q991,Фёдор Михайлович Достоевский,166
http://www.wikidata.org/entity/Q7200,Александр Сергеевич Пушкин,155
http://www.wikidata.org/entity/Q5685,Антон Павлович Чехов,154
http://www.wikidata.org/entity/Q7604,Леонард Эйлер,149
http://www.wikidata.org/entity/Q32927,Валерий Яковлевич Леонтьев,134
http://www.wikidata.org/entity/Q41117,Ким Ир Сен,131
http://www.wikidata.org/entity/Q33391,Лев Давидович Троцкий,127
http://www.wikidata.org/entity/Q36591,Владимир Владимирович Набоков,111
http://www.wikidata.org/entity/Q34474,Александр Исаевич Солженицын,110
http://www.wikidata.org/entity/Q25973,Герман Гессе,107
http://www.wikidata.org/entity/Q12706,Максим Горький,106
http://www.wikidata.org/entity/Q11758,Людвик Лазарь Заменгоф,104
http://www.wikidata.org/entity/Q41223,Борис Леонидович Пастернак,101
http://www.wikidata.org/entity/Q512,Владимир Семёнович Высоцкий,100
http://www.wikidata.org/entity/Q43718,Николай Васильевич Гоголь,99
http://www.wikidata.org/entity/Q80440,Анна Андреевна Ахматова,98
http://www.wikidata.org/entity/Q862,Иосиф Александрович Бродский,95
http://www.wikidata.org/entity/Q41502,Генрик Сенкевич,95
http://www.wikidata.org/entity/Q42398,Михаил Шолохов,93
http://www.wikidata.org/entity/Q274334,Светлана Александровна Алексиевич,92
http://www.wikidata.org/entity/Q46602,Иван Алексеевич Бунин,92
http://www.wikidata.org/entity/Q42831,Иван Сергеевич Тургенев,92
http://www.wikidata.org/entity/Q27645,Михаил Александрович Бакунин,89
http://www.wikidata.org/entity/Q79969,Эмма Гольдман,88
http://www.wikidata.org/entity/Q835,Михаил Афанасьевич Булгаков,87
http://www.wikidata.org/entity/Q155979,Алексей Анатольевич Навальный,86
http://www.wikidata.org/entity/Q82925,Джозеф Конрад,85
http://www.wikidata.org/entity/Q58720,Михаил Васильевич Ломоносов,85
http://www.wikidata.org/entity/Q75612,Исаак Башевис-Зингер,84
http://www.wikidata.org/entity/Q46599,Михаил Юрьевич Лермонтов,84
http://www.wikidata.org/entity/Q121180,"Реймонт, Владислав",81
http://www.wikidata.org/entity/Q377,Янка Купала,81
http://www.wikidata.org/entity/Q134958,Тарас Григорьевич Шевченко,80
http://www.wikidata.org/entity/Q93284,Марк Захарович Шагал,79
http://www.wikidata.org/entity/Q42904,Дима Билан,79
http://www.wikidata.org/entity/Q132964,Владимир Владимирович Маяковский,78
http://www.wikidata.org/entity/Q1978163,Николай Иванович Носков,76
http://www.wikidata.org/entity/Q5752,Пётр Алексеевич Кропоткин,76
http://www.wikidata.org/entity/Q31628,Сергей Александрович Есенин,76
http://www.wikidata.org/entity/Q154269,Алексей Архипович Леонов,73
http://www.wikidata.org/entity/Q131674,Анатолий Евгеньевич Карпов,72
http://www.wikidata.org/entity/Q133855,Гийом Аполлинер,72
http://www.wikidata.org/entity/Q484292,Чингиз Торекулович Айтматов,72
http://www.wikidata.org/entity/Q188526,Марина Ивановна Цветаева,71
http://www.wikidata.org/entity/Q184535,Софья Васильевна Ковалевская,71
http://www.wikidata.org/entity/Q131240,Анна Степановна Политковская,71
http://www.wikidata.org/entity/Q41239,Константин Эдуардович Циолковский,70
http://www.wikidata.org/entity/Q483709,Якуб Колас,67
http://www.wikidata.org/entity/Q131374,Александр Александрович Алехин,66
http://www.wikidata.org/entity/Q161092,Владимир Крамник,66
http://www.wikidata.org/entity/Q178865,Михаил Моисеевич Ботвинник,65
http://www.wikidata.org/entity/Q179558,Александра Михайловна Коллонтай,65
http://www.wikidata.org/entity/Q102664,Михаил Таль,63
http://www.wikidata.org/entity/Q164765,Александр Александрович Блок,63
http://www.wikidata.org/entity/Q37217,Фёдор Иванович Тютчев,63
http://www.wikidata.org/entity/Q180636,Тигран Вартанович Петросян,62
http://www.wikidata.org/entity/Q215637,Надежда Константиновна Крупская,61
http://www.wikidata.org/entity/Q487125,Виктор Робертович Цой,61
http://www.wikidata.org/entity/Q191598,Николай Михайлович Карамзин,60
http://www.wikidata.org/entity/Q75849,Альфред Розенберг,59
http://www.wikidata.org/entity/Q297736,Евгений Александрович Евтушенко,58
http://www.wikidata.org/entity/Q87015,Александр Вальтерович Литвиненко,57
http://www.wikidata.org/entity/Q242454,Земфира,57
http://www.wikidata.org/entity/Q191480,Иван Андреевич Крылов,55
http://www.wikidata.org/entity/Q204868,Евгений Иванович Замятин,55
http://www.wikidata.org/entity/Q152318,Светлана Евгеньевна Савицкая,55
http://www.wikidata.org/entity/Q208993,Николай Константинович Рерих,54
http://www.wikidata.org/entity/Q156201,Роман Осипович Якобсон,54
http://www.wikidata.org/entity/Q47900,Нестор Иванович Махно,54
http://www.wikidata.org/entity/Q59478,Георгий Антонович Гамов,54
http://www.wikidata.org/entity/Q185375,Михаил Михайлович Бахтин,53
http://www.wikidata.org/entity/Q189665,Иван Александрович Гончаров,53
http://www.wikidata.org/entity/Q182905,Георгий Валентинович Плеханов,53
http://www.wikidata.org/entity/Q189950,Осип Эмильевич Мандельштам,53
http://www.wikidata.org/entity/Q192279,Алексей Николаевич Толстой,53
http://www.wikidata.org/entity/Q201221,Александр Иванович Герцен,53
http://www.wikidata.org/entity/Q152441,Януш Корчак,53
http://www.wikidata.org/entity/Q333411,Илья Григорьевич Чавчавадзе,52
http://www.wikidata.org/entity/Q298033,Леся Украинка,52
http://www.wikidata.org/entity/Q270275,Гавриил Романович Державин,51
http://www.wikidata.org/entity/Q192442,Николай Михайлович Пржевальский,51
http://www.wikidata.org/entity/Q208003,Николай Алексеевич Некрасов,51
http://www.wikidata.org/entity/Q157623,Василий Андреевич Жуковский,51
http://www.wikidata.org/entity/Q253395,Белла Ахатовна Ахмадулина,50
http://www.wikidata.org/entity/Q186709,Николай Иванович Бухарин,50
http://www.wikidata.org/entity/Q192885,Виссарион Григорьевич Белинский,50
http://www.wikidata.org/entity/Q208116,Сергей Владимирович Михалков,50
http://www.wikidata.org/entity/Q152298,Герман Степанович Титов,50
http://www.wikidata.org/entity/Q153149,Леннарт Мери,50
http://www.wikidata.org/entity/Q208546,Цезарь Антонович Кюи,50
http://www.wikidata.org/entity/Q189454,Елена Петровна Блаватская,49
http://www.wikidata.org/entity/Q271457,Александр Иванович Куприн,49
http://www.wikidata.org/entity/Q152738,Анастас Иванович Микоян,49
http://www.wikidata.org/entity/Q157594,Василий Иванович Чуйков,49
http://www.wikidata.org/entity/Q165854,Лев Борисович Каменев,49
http://www.wikidata.org/entity/Q242474,Семён Михайлович Будённый,49
http://www.wikidata.org/entity/Q192331,Николай Гаврилович Чернышевский,48
http://www.wikidata.org/entity/Q157322,Ромен Гари,48
http://www.wikidata.org/entity/Q171976,Александр Николаевич Островский,47
http://www.wikidata.org/entity/Q189172,Андрей Витальевич Коротаев,47
http://www.wikidata.org/entity/Q271853,Николай Алексеевич Островский,47
http://www.wikidata.org/entity/Q108314,Антон Иванович Деникин,47
http://www.wikidata.org/entity/Q127017,Василий Васильевич Верещагин,47
