item,itemLabel,count
http://www.wikidata.org/entity/Q7243,Лев Николаевич Толстой,46
http://www.wikidata.org/entity/Q991,Фёдор Михайлович Достоевский,39
http://www.wikidata.org/entity/Q5685,Антон Павлович Чехов,35
http://www.wikidata.org/entity/Q25973,Герман Гессе,35
http://www.wikidata.org/entity/Q12706,Максим Горький,34
http://www.wikidata.org/entity/Q27645,Михаил Александрович Бакунин,31
http://www.wikidata.org/entity/Q7200,Александр Сергеевич Пушкин,30
http://www.wikidata.org/entity/Q42831,Иван Сергеевич Тургенев,26
http://www.wikidata.org/entity/Q34474,Александр Исаевич Солженицын,26
http://www.wikidata.org/entity/Q41223,Борис Леонидович Пастернак,26
http://www.wikidata.org/entity/Q43718,Николай Васильевич Гоголь,26
http://www.wikidata.org/entity/Q82925,Джозеф Конрад,23
http://www.wikidata.org/entity/Q33391,Лев Давидович Троцкий,23
http://www.wikidata.org/entity/Q132964,Владимир Владимирович Маяковский,21
http://www.wikidata.org/entity/Q36591,Владимир Владимирович Набоков,20
http://www.wikidata.org/entity/Q192885,Виссарион Григорьевич Белинский,19
http://www.wikidata.org/entity/Q79969,Эмма Гольдман,18
http://www.wikidata.org/entity/Q5752,Пётр Алексеевич Кропоткин,18
http://www.wikidata.org/entity/Q46599,Михаил Юрьевич Лермонтов,18
http://www.wikidata.org/entity/Q80440,Анна Андреевна Ахматова,17
http://www.wikidata.org/entity/Q75612,Исаак Башевис-Зингер,17
http://www.wikidata.org/entity/Q835,Михаил Афанасьевич Булгаков,17
http://www.wikidata.org/entity/Q862,Иосиф Александрович Бродский,17
http://www.wikidata.org/entity/Q41239,Константин Эдуардович Циолковский,17
http://www.wikidata.org/entity/Q41502,Генрик Сенкевич,17
http://www.wikidata.org/entity/Q274334,Светлана Александровна Алексиевич,15
http://www.wikidata.org/entity/Q201221,Александр Иванович Герцен,15
http://www.wikidata.org/entity/Q484292,Чингиз Торекулович Айтматов,14
http://www.wikidata.org/entity/Q164765,Александр Александрович Блок,14
http://www.wikidata.org/entity/Q31628,Сергей Александрович Есенин,14
http://www.wikidata.org/entity/Q192331,Николай Гаврилович Чернышевский,13
http://www.wikidata.org/entity/Q189665,Иван Александрович Гончаров,12
http://www.wikidata.org/entity/Q188526,Марина Ивановна Цветаева,12
http://www.wikidata.org/entity/Q133855,Гийом Аполлинер,12
http://www.wikidata.org/entity/Q348497,Илья Григорьевич Эренбург,12
http://www.wikidata.org/entity/Q41117,Ким Ир Сен,12
http://www.wikidata.org/entity/Q178865,Михаил Моисеевич Ботвинник,11
