item,itemLabel,count
http://www.wikidata.org/entity/Q7243,Лев Николаевич Толстой,30
http://www.wikidata.org/entity/Q5685,Антон Павлович Чехов,24
http://www.wikidata.org/entity/Q7200,Александр Сергеевич Пушкин,23
http://www.wikidata.org/entity/Q42831,Иван Сергеевич Тургенев,22
http://www.wikidata.org/entity/Q991,Фёдор Михайлович Достоевский,18
http://www.wikidata.org/entity/Q12706,Максим Горький,18
http://www.wikidata.org/entity/Q46599,Михаил Юрьевич Лермонтов,18
http://www.wikidata.org/entity/Q191480,Иван Андреевич Крылов,14
http://www.wikidata.org/entity/Q132964,Владимир Владимирович Маяковский,13
http://www.wikidata.org/entity/Q43718,Николай Васильевич Гоголь,13
http://www.wikidata.org/entity/Q164765,Александр Александрович Блок,12
http://www.wikidata.org/entity/Q5752,Пётр Алексеевич Кропоткин,12
http://www.wikidata.org/entity/Q33391,Лев Давидович Троцкий,12
http://www.wikidata.org/entity/Q41502,Генрик Сенкевич,12
http://www.wikidata.org/entity/Q27645,Михаил Александрович Бакунин,11
http://www.wikidata.org/entity/Q121180,"Реймонт, Владислав",10
http://www.wikidata.org/entity/Q208003,Николай Алексеевич Некрасов,10
http://www.wikidata.org/entity/Q134958,Тарас Григорьевич Шевченко,10
http://www.wikidata.org/entity/Q212575,Алексей Константинович Толстой,10
http://www.wikidata.org/entity/Q31628,Сергей Александрович Есенин,10
http://www.wikidata.org/entity/Q257852,Мария Конопницкая,9
http://www.wikidata.org/entity/Q189665,Иван Александрович Гончаров,9
http://www.wikidata.org/entity/Q133855,Гийом Аполлинер,9
http://www.wikidata.org/entity/Q335064,Владимир Галактионович Короленко,9
http://www.wikidata.org/entity/Q310866,Леонид Николаевич Андреев,9
http://www.wikidata.org/entity/Q444969,Алексей Васильевич Кольцов,9
http://www.wikidata.org/entity/Q270275,Гавриил Романович Державин,8
http://www.wikidata.org/entity/Q271457,Александр Иванович Куприн,8
http://www.wikidata.org/entity/Q380728,Фёдор Сологуб,8
http://www.wikidata.org/entity/Q7604,Леонард Эйлер,8
http://www.wikidata.org/entity/Q11758,Людвик Лазарь Заменгоф,8
http://www.wikidata.org/entity/Q326459,Дмитрий Сергеевич Мережковский,7
