item,itemLabel,dplace,dplaceLabel,dgeo,dmanner,dmannerLabel,dcause,dcauseLabel,burial,burialLabel,burialgeo
http://www.wikidata.org/entity/Q377725,Пётр Бернгардович Струве,http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444),,,,,http://www.wikidata.org/entity/Q631270,кладбище Сент-Женевьев-де-Буа,Point(2.345277777 48.631388888)
http://www.wikidata.org/entity/Q213997,Александр Грин,http://www.wikidata.org/entity/Q576937,Старый Крым,Point(35.088611111 45.029166666),http://www.wikidata.org/entity/Q3739104,ненасильственная смерть,http://www.wikidata.org/entity/Q12078,злокачественная опухоль,http://www.wikidata.org/entity/Q576937,Старый Крым,Point(35.088611111 45.029166666)
http://www.wikidata.org/entity/Q488061,Анатолий Васильевич Кузнецов,http://www.wikidata.org/entity/Q84,Лондон,Point(-0.1275 51.507222222),http://www.wikidata.org/entity/Q3739104,ненасильственная смерть,http://www.wikidata.org/entity/Q12152,инфаркт миокарда,http://www.wikidata.org/entity/Q533697,Хайгейтское кладбище,Point(-0.147 51.567)
http://www.wikidata.org/entity/Q1888703,Владимир Львович Бурцев,http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444),,,http://www.wikidata.org/entity/Q183134,сепсис,http://www.wikidata.org/entity/Q631270,кладбище Сент-Женевьев-де-Буа,Point(2.345277777 48.631388888)
http://www.wikidata.org/entity/Q87015,Александр Вальтерович Литвиненко,http://www.wikidata.org/entity/Q3551343,Q3551343,Point(-0.134397222 51.525241666),http://www.wikidata.org/entity/Q149086,гомицид,http://www.wikidata.org/entity/Q275459,Острая лучевая болезнь,http://www.wikidata.org/entity/Q533697,Хайгейтское кладбище,Point(-0.147 51.567)
http://www.wikidata.org/entity/Q360420,Серж Лифарь,http://www.wikidata.org/entity/Q807,Лозанна,Point(6.633333333 46.533333333),,,,,http://www.wikidata.org/entity/Q631270,кладбище Сент-Женевьев-де-Буа,Point(2.345277777 48.631388888)
http://www.wikidata.org/entity/Q315147,Андрей Платонович Платонов,http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),http://www.wikidata.org/entity/Q3739104,ненасильственная смерть,http://www.wikidata.org/entity/Q12204,туберкулёз,http://www.wikidata.org/entity/Q685338,Армянское кладбище,Point(37.553722222 55.766522222)
http://www.wikidata.org/entity/Q553718,"Шмелёв, Иван Сергеевич",http://www.wikidata.org/entity/Q74775,Бюсси-ан-От,Point(3.514444444 48.019444444),,,,,http://www.wikidata.org/entity/Q631270,кладбище Сент-Женевьев-де-Буа,Point(2.345277777 48.631388888)
http://www.wikidata.org/entity/Q706654,Гайто Газданов,http://www.wikidata.org/entity/Q1726,Мюнхен,Point(11.5755 48.137194444),http://www.wikidata.org/entity/Q3739104,ненасильственная смерть,http://www.wikidata.org/entity/Q47912,рак лёгкого,http://www.wikidata.org/entity/Q631270,кладбище Сент-Женевьев-де-Буа,Point(2.345277777 48.631388888)
http://www.wikidata.org/entity/Q180636,Тигран Вартанович Петросян,http://www.wikidata.org/entity/Q649,Москва,Point(37.617777777 55.755833333),http://www.wikidata.org/entity/Q3739104,ненасильственная смерть,http://www.wikidata.org/entity/Q189588,рак желудка,http://www.wikidata.org/entity/Q685338,Армянское кладбище,Point(37.553722222 55.766522222)
